7341; 1431; 87652
190; 1; 1253
2831; 213; 30016
9236; 2278; 113222
1590; 83; 15514
9148; 2218; 112059
1879; 100; 18708
5695; 856; 66021
2693; 192; 28285
8586; 1944; 104141
8056; 1715; 96952
2817; 211; 29733
1416; 54; 13576
6369; 1073; 74771
1906; 97; 19046
694; 13; 5945
9287; 2272; 113946
300; 2; 2201
3280; 285; 35425
3938; 411; 43450
4467; 529; 49947
7636; 1539; 91651
3492; 324; 37999
4368; 508; 48846
801; 17; 7045
3572; 339; 38864
6824; 1229; 80727
1203; 39; 11196
7067; 1324; 83951
6718; 1193; 79410
7750; 1587; 92983
2153; 125; 21899
8228; 1792; 99376
9795; 2535; 120992
1200; 38; 11145
3422; 310; 37113
2919; 225; 31046
9486; 2375; 116665
2104; 117; 21280
4317; 493; 48167
1194; 38; 11182
7116; 1340; 84604
4946; 649; 56171
289; 2; 2124
5403; 770; 62116
8364; 1874; 101158
6741; 1201; 79820
1337; 48; 12682
9159; 2216; 112157
9894; 2581; 122188
8765; 2023; 106702
8828; 2053; 107586
7859; 1635; 94403
6242; 1048; 73054
6180; 1008; 72175
9704; 2482; 119591
6697; 1189; 79148
8463; 1892; 102562
8535; 1930; 103579
8017; 1692; 96685
2423; 157; 25102
776; 16; 6798
8627; 1961; 104823
5974; 940; 69617
935; 23; 8390
6003; 951; 70090
4588; 566; 51648
1621; 71; 15867
5268; 737; 60269
8483; 1898; 102783
7774; 1596; 93351
9801; 2531; 120972
8195; 1770; 99123
8963; 2121; 109459
2844; 214; 30086
7351; 1426; 87819
2789; 206; 29406
3302; 290; 35677
8964; 2122; 109501
2437; 158; 25226
6830; 1345; 80935
5587; 824; 64535
2043; 111; 20628
7173; 1357; 85397
7953; 1670; 95585
8922; 2097; 109045
4294; 488; 47764
2086; 116; 21047
3714; 365; 40746
1496; 60; 14489
6724; 1194; 79350
4455; 526; 49943
1051; 29; 9572
4086; 447; 45191
1993; 105; 20032
517; 7; 4190
8488; 1890; 102866
8972; 2115; 109631
9354; 2294; 114776
9400; 2341; 115502
